text_name,text_key,html_name,model_path,<# Docuscope Excluded Tokens>,Docuscope.!NORULES,<# Docuscope Untagged Tokens>,Docuscope.AbstractConcepts,Docuscope.Acknowledge,Docuscope.Anger,Docuscope.Apology,Docuscope.Aside,Docuscope.Attack_Citation,Docuscope.Authoritative_Citation,Docuscope.Autobio,Docuscope.Biographical_Time,Docuscope.Cause,Docuscope.Citations,Docuscope.CommonAuthorities,Docuscope.CommunicatorRole,Docuscope.Comparison,Docuscope.Concessive,Docuscope.Confidence,Docuscope.ConfirmExperience,Docuscope.ConfirmedThght,Docuscope.Confront,Docuscope.Consequence,Docuscope.Contested_Citation,Docuscope.Contingency,Docuscope.Curiosity,Docuscope.Definition,Docuscope.DenyDisclaim,Docuscope.DialogCues,Docuscope.DirectAddress,Docuscope.DirectReasoning,Docuscope.Disclosure,Docuscope.Example,Docuscope.Exceptions,Docuscope.Fear,Docuscope.Feedback,Docuscope.FirstPer,Docuscope.FollowUp,Docuscope.Future_Question,Docuscope.Future_in_Past,Docuscope.Generalization,Docuscope.GenericEvents,Docuscope.Immediacy,Docuscope.Imperative,Docuscope.In_Media,Docuscope.Inclusive,Docuscope.Innovations,Docuscope.Insist,Docuscope.Intensity,Docuscope.LangRef,Docuscope.MatureProcess,Docuscope.Metadiscourse,Docuscope.Motions,Docuscope.MoveBody,Docuscope.Narrative_Verbs,Docuscope.NegFeedback,Docuscope.Neg_Citation,Docuscope.Negative_Attribution,Docuscope.Negative_Relation,Docuscope.Negativity,Docuscope.Neutral_Attribution,Docuscope.Numbers,Docuscope.OpenQuery,Docuscope.OralCues,Docuscope.PersonPronoun,Docuscope.PersonProperty,Docuscope.PosFeedback,Docuscope.Positive_Attribution,Docuscope.Positivity,Docuscope.Precedent_Defending,Docuscope.Precedent_Setting,Docuscope.PredictedFuture,Docuscope.PriorKnowledge,Docuscope.PrivateThinking,Docuscope.Procedures,Docuscope.ProjectAhead,Docuscope.ProjectBack,Docuscope.Promise,Docuscope.Question,Docuscope.ReasonBackward,Docuscope.ReasonForward,Docuscope.Reassure,Docuscope.ReceivedPOV,Docuscope.RecurringEvents,Docuscope.Reinforce,Docuscope.Repair_Citation,Docuscope.ReportingEvents,Docuscope.ReportingStates,Docuscope.Request,Docuscope.Resemblances,Docuscope.Resistance,Docuscope.Responsibility,Docuscope.Sad,Docuscope.SceneShift,Docuscope.SelfDisclosure,Docuscope.SelfReluctance,Docuscope.Self_Promise,Docuscope.SenseObject,Docuscope.SenseProperty,Docuscope.Sequence,Docuscope.SpaceRelation,Docuscope.Specifiers,Docuscope.Speculative_Citation,Docuscope.StandardsNeg,Docuscope.StandardsPos,Docuscope.SubjectivePercept,Docuscope.SubjectiveTime,Docuscope.Substitution,Docuscope.Support,Docuscope.TimeDate,Docuscope.TimeDuration,Docuscope.TimeShift,Docuscope.Transformation,Docuscope.Uncertainty,Docuscope.Updates,<# Included Tokens (Incl. by Tokenizer)>,<# Excluded Tokens (Excl. by Tokenizer)>,<# Tokens>
1 KING HENRY IV rev.txt,1kinghenryivrev,1 KING HENRY IV rev_Docuscope.html,0,21886,13.768334427,792,1.25392405512,0.023056595073,0.117056559601,0.00354716847277,0.0673962009826,0.0,0.0,0.266037635457,0.129471649256,0.0478867743823,0.255396130039,0.739584626572,0.00532075270915,0.375999858113,0.0283773477821,0.317471578313,0.00532075270915,0.00354716847277,0.00354716847277,0.0,0.00354716847277,0.716528031499,0.163169749747,0.00709433694553,0.869056275828,0.0159622581274,2.5007537733,0.00354716847277,0.0443396059096,0.00177358423638,0.0673962009826,0.175584839402,0.00709433694553,1.25924480783,0.0,0.131245233492,0.0106415054183,0.202188602948,0.175584839402,0.422113048259,0.312150825603,0.0,0.485962080769,0.00532075270915,0.321018746785,0.828263838391,0.242981040385,0.0,0.322792331022,0.521433765497,0.00709433694553,0.163169749747,0.0,0.0,0.00532075270915,0.198641434475,1.17943351719,0.060301864037,0.299735735949,0.037245268964,0.51966018126,0.688150683717,1.3745277832,0.0,0.00354716847277,0.725395952681,0.0,0.0,0.278452725112,0.0,0.115282975365,0.0,0.610112977316,0.409697958605,0.0,1.36743344625,0.0212830108366,0.370679105404,0.0354716847277,0.0354716847277,0.111735806892,0.0,0.0141886738911,1.70264086693,0.957735487647,0.0336981004913,0.18622634482,0.899207207846,0.0496603586187,0.0709433694553,0.232339534966,0.812301580264,0.00532075270915,0.00354716847277,2.12120674671,0.782150648245,0.365358352695,1.15815050636,0.867282691591,0.0,0.342301757622,1.09430147385,0.597697887661,0.136565986202,0.0124150896547,0.0106415054183,0.0567546955643,0.475320575351,0.156075412802,0.133018817729,0.203962187184,0.35294326304,56383,0,56383
1 KING HENRY VI rev.txt,1kinghenryvirev,1 KING HENRY VI rev_Docuscope.html,0,19222,13.7519373351,792,1.23361119256,0.0125664977171,0.180119800612,0.0,0.0649269048716,0.0,0.00418883257236,0.201063963473,0.178025384325,0.0963431491643,0.140325891174,0.980186821933,0.0,0.341389854648,0.0356050768651,0.228291375194,0.0,0.00837766514472,0.0104720814309,0.0125664977171,0.0104720814309,0.680685293009,0.150797972605,0.0,0.766556360742,0.0104720814309,2.52796045742,0.00418883257236,0.0712101537302,0.00837766514472,0.0900599003058,0.127759393457,0.0,1.26293302057,0.00628324885854,0.117287312026,0.0,0.161270054036,0.245046705483,0.429355338667,0.400033510661,0.00209441628618,0.456582750387,0.0104720814309,0.278557366062,0.743517781594,0.209441628618,0.00209441628618,0.192686298329,0.425166506095,0.0125664977171,0.100531981737,0.0,0.00209441628618,0.00209441628618,0.339295438361,1.3634650023,0.0774934025887,0.150797972605,0.00837766514472,0.293218280065,0.856616261048,1.46190256775,0.00628324885854,0.0167553302894,0.779122858459,0.0,0.0,0.408411175805,0.0125664977171,0.154986805177,0.0125664977171,0.571775646127,0.456582750387,0.0125664977171,0.994847735936,0.0397939094374,0.588530976417,0.0335106605789,0.0188497465756,0.0816822351611,0.0,0.0104720814309,1.57290663092,1.11004063168,0.0272274117204,0.123570560885,1.0304528128,0.0356050768651,0.113098479454,0.261802035773,0.672307627864,0.0,0.0146609140033,1.85984166213,0.67440204415,0.456582750387,1.09956855025,0.814727935324,0.0,0.462865999246,1.49331881205,0.67440204415,0.154986805177,0.0314162442927,0.0188497465756,0.00418883257236,0.406316759519,0.121476144599,0.140325891174,0.161270054036,0.259707619486,47746,0,47746
2 KING HENRY IV rev.txt,2kinghenryivrev,2 KING HENRY IV rev_Docuscope.html,0,23195,14.0465333023,747,1.12838265153,0.0282927803482,0.0732283726658,0.0066571247878,0.0882069034384,0.0,0.0,0.261292147921,0.116499683787,0.0848783410445,0.252970741937,0.822154911294,0.00499284359085,0.437705954798,0.0432713111207,0.29457777186,0.0149785307726,0.0,0.00832140598476,0.0166428119695,0.00166428119695,0.569184169357,0.124821089771,0.0,0.842126285657,0.0066571247878,2.88419931432,0.0,0.0449355923177,0.0199713743634,0.0316213427421,0.0981925906201,0.0,1.29314649003,0.0,0.0915354658323,0.0,0.189728056452,0.183070931665,0.406084612056,0.39277036248,0.00166428119695,0.407748893253,0.0066571247878,0.464334453949,0.788869287355,0.246313617149,0.0,0.244649335952,0.514262889858,0.0066571247878,0.139799620544,0.0066571247878,0.0,0.0066571247878,0.169756682089,1.2532037413,0.0515927171055,0.211363712013,0.0183070931665,0.487634390707,0.748926538628,1.78244516193,0.00832140598476,0.00499284359085,0.887061877975,0.0,0.0,0.304563459042,0.0183070931665,0.188063775255,0.00998568718171,0.534234264221,0.456013047965,0.00166428119695,1.08677562161,0.033285623939,0.432713111207,0.0416070299238,0.0133142495756,0.0931997470293,0.0,0.00998568718171,1.77911659954,1.08011849682,0.0599141230902,0.164763838498,0.750590819825,0.0432713111207,0.113171121393,0.25629930433,0.808840661718,0.00998568718171,0.00832140598476,2.14026561928,0.970275937822,0.331191958193,1.12172552674,0.788869287355,0.0,0.326199114602,1.30313217721,0.550877076191,0.126485370968,0.0066571247878,0.0033285623939,0.00998568718171,0.282927803482,0.151449588923,0.219685117998,0.206370868422,0.344506207769,60086,0,60086
2 KING HENRY VI rev.txt,2kinghenryvirev,2 KING HENRY VI rev_Docuscope.html,0,22445,14.0101969058,833,1.23241912799,0.0632911392405,0.159985935302,0.00351617440225,0.0334036568214,0.0,0.00351617440225,0.193389592124,0.203938115331,0.100210970464,0.198663853727,1.2517580872,0.0,0.353375527426,0.0545007032349,0.186357243319,0.00351617440225,0.0105485232068,0.0175808720113,0.0123066104079,0.0175808720113,0.625879043601,0.0931786216596,0.00527426160338,0.696202531646,0.00351617440225,2.44374120956,0.00879043600563,0.098452883263,0.00879043600563,0.0580168776371,0.154711673699,0.0,1.22011251758,0.00527426160338,0.0966947960619,0.0,0.228551336146,0.170534458509,0.409634317862,0.355133614627,0.0,0.377988748242,0.0,0.29711673699,0.634669479606,0.23382559775,0.0,0.203938115331,0.557313642757,0.0,0.133614627286,0.0,0.00351617440225,0.00175808720113,0.225035161744,1.37482419128,0.0685654008439,0.174050632911,0.0210970464135,0.413150492264,0.840365682138,1.38185654008,0.0,0.0,0.752461322082,0.0,0.0,0.302390998594,0.0123066104079,0.147679324895,0.0,0.777074542897,0.425457102672,0.00879043600563,1.26230661041,0.0527426160338,0.56258790436,0.0193389592124,0.0070323488045,0.0966947960619,0.0,0.00527426160338,1.85302390999,1.23241912799,0.0492264416315,0.138888888889,0.872011251758,0.0545007032349,0.189873417722,0.267229254571,0.845639943741,0.00527426160338,0.00351617440225,2.25210970464,0.595991561181,0.399085794655,1.08298171589,0.727848101266,0.0,0.490506329114,1.17088607595,0.516877637131,0.154711673699,0.0193389592124,0.014064697609,0.0158227848101,0.327004219409,0.133614627286,0.142405063291,0.130098452883,0.272503516174,56880,0,56880
3 KING HENRY VI rev.txt,3kinghenryvirev,3 KING HENRY VI rev_Docuscope.html,0,21488,13.9261961348,872,1.04276055196,0.0350043294829,0.147386650454,0.00736933252271,0.0663239927044,0.0,0.0,0.206341310636,0.152913649846,0.0958013227952,0.19160264559,1.02802188692,0.00184233313068,0.414524954402,0.068166325835,0.154755982977,0.0110539987841,0.0128963319147,0.0257926638295,0.00368466626135,0.0110539987841,0.650343595129,0.171336981153,0.00368466626135,0.705613589049,0.00368466626135,2.43372206562,0.00368466626135,0.0497429945283,0.0,0.0589546601817,0.143701984193,0.0,1.35595718418,0.0165809981761,0.0976436559259,0.0,0.182390979937,0.147386650454,0.425578953186,0.296615634039,0.0,0.525064942243,0.0,0.362939626743,0.554542272334,0.228449308204,0.0,0.235818640727,0.519537942851,0.00368466626135,0.125278652886,0.0,0.0,0.0,0.24503030638,1.16066987233,0.0644816595737,0.158440649238,0.0386889957442,0.438475285101,0.904585567162,1.86996812764,0.0110539987841,0.0221079975681,0.878792903333,0.0,0.0,0.3003003003,0.00921166565338,0.145544317323,0.0147386650454,0.757198916708,0.410840288141,0.00552699939203,1.28594852521,0.0184233313068,0.591388934947,0.0257926638295,0.0,0.119751653494,0.0,0.00921166565338,1.57887949299,1.0869765471,0.0294773300908,0.147386650454,1.09987287901,0.0350043294829,0.318723631607,0.283719302124,0.760883582969,0.0,0.0147386650454,2.15921442915,0.65402826139,0.372151292397,1.08881888023,0.746144917924,0.0,0.333462296652,1.18277786989,0.486375946499,0.128963319147,0.00921166565338,0.0110539987841,0.0110539987841,0.429263619448,0.116066987233,0.138174984801,0.176863980545,0.302142633431,54279,0,54279
A Midsummer Night's Dream rev.txt,amidsummernightsdreamrev,A Midsummer Night's Dream rev_Docuscope.html,0,14756,14.2298133362,654,0.925387340701,0.0211517106446,0.105758553223,0.0,0.0925387340701,0.0,0.00264396383057,0.240600708582,0.18243350431,0.037015493628,0.166569721326,0.364867008619,0.00793189149172,0.444185923537,0.0581672042726,0.227380889429,0.0158637829834,0.00528792766115,0.018507746814,0.00528792766115,0.0,0.671566812966,0.121622336206,0.00528792766115,1.02585796626,0.0,2.47210618159,0.00528792766115,0.0449473851198,0.00793189149172,0.0660990957644,0.129554227698,0.0,1.34842155359,0.0,0.132198191529,0.00793189149172,0.251176563905,0.166569721326,0.399238538417,0.333139442652,0.0,0.333139442652,0.00793189149172,0.438897995875,0.77996933002,0.296123949024,0.0,0.256464491566,0.668922849135,0.00793189149172,0.0898947702395,0.0,0.0,0.00528792766115,0.216805034107,1.14483633864,0.0475913489503,0.227380889429,0.0105758553223,0.301411876686,0.769393474697,0.925387340701,0.0,0.0,1.31933795146,0.0,0.0,0.314631695838,0.0,0.237956744752,0.0132198191529,0.539368621437,0.240600708582,0.0,1.14483633864,0.0502353127809,0.544656549098,0.0290836021363,0.0,0.0951826979007,0.0,0.00528792766115,1.84284278991,0.959758870499,0.0555232404421,0.153349902173,0.748241764053,0.0423034212892,0.113690444715,0.243244672413,0.811696895986,0.0,0.0317275659669,2.7761620221,1.16863201311,0.41245835757,1.15805615779,0.742953836392,0.0,0.222092961768,0.957114906668,0.809052932156,0.108402517054,0.00528792766115,0.0,0.0,0.433610068214,0.145418010682,0.153349902173,0.272328274549,0.304055840516,37822,0,37822
All's Well that Ends Well rev.txt,allswellthatendswellrev,All's Well that Ends Well rev_Docuscope.html,0,17689,14.0655803661,536,1.23717561859,0.076443371555,0.0824783745725,0.0020116676725,0.150875075438,0.0,0.0,0.291691812513,0.207201770268,0.060350030175,0.309796821565,0.808690404345,0.0020116676725,0.408368537518,0.08851337759,0.37819352243,0.0140816737075,0.00804667069,0.020116676725,0.0181050090525,0.0,0.89318044659,0.213236773285,0.0,1.00181050091,0.0140816737075,3.05169985918,0.004023335345,0.0583383625025,0.012070006035,0.116676725005,0.0985717159525,0.0,1.55501911084,0.0,0.10460671897,0.0,0.203178434923,0.191108428888,0.3218668276,0.299738483203,0.0020116676725,0.408368537518,0.0140816737075,0.521021927178,0.98169382418,0.263528465098,0.00804667069,0.283645141823,0.348018507343,0.004023335345,0.15288674311,0.0,0.0020116676725,0.00804667069,0.12874673104,1.22510561255,0.150875075438,0.223295111648,0.04828002414,0.350030175015,1.31965399316,1.53691410179,0.00804667069,0.00804667069,1.08831221082,0.0,0.0,0.333936833635,0.01609334138,0.237376785355,0.0060350030175,0.63568698451,0.561255280628,0.00804667069,1.148662241,0.020116676725,0.364111848723,0.03218668276,0.020116676725,0.173003419835,0.004023335345,0.012070006035,1.9754576544,1.30557231945,0.0865017099175,0.126735063368,0.991752162543,0.0804667069,0.150875075438,0.245423456045,1.22309394488,0.0140816737075,0.01609334138,1.56507744921,0.53108026554,0.37014685174,0.951518809093,0.863005431503,0.0,0.339971836653,1.51076242205,0.754375377188,0.154898410783,0.0140816737075,0.012070006035,0.0100583383625,0.215248440958,0.150875075438,0.138805069403,0.30577348622,0.376181854758,49710,0,49710
Antony And Cleopatra rev.txt,antonyandcleopatrarev,Antony And Cleopatra rev_Docuscope.html,0,22198,14.5347297035,1120,1.0808328771,0.0512159369867,0.0794730056691,0.00706426717058,0.151881744168,0.0,0.0,0.178372746057,0.166010278509,0.104197940766,0.220758349081,0.635784045353,0.00883033396323,0.529820037794,0.0777069388764,0.241951150593,0.00529820037794,0.0105964007559,0.0105964007559,0.00353213358529,0.0,0.605760909878,0.111262207937,0.0,0.943079667273,0.0105964007559,2.46719530933,0.00706426717058,0.0264910018897,0.0,0.0264910018897,0.0759408720838,0.0,1.3439768292,0.00529820037794,0.113028274729,0.0,0.185437013228,0.203097681154,0.377938293626,0.520989703831,0.0,0.54748070572,0.0,0.482136234392,0.745280186497,0.340850890981,0.00529820037794,0.324956289847,0.561609240061,0.0211928015118,0.105964007559,0.0,0.0,0.0,0.123624675485,1.08966321106,0.135987143034,0.121858608693,0.024724935097,0.399131095138,1.07023647634,1.24331102202,0.0,0.0158946011338,0.865372728397,0.0,0.0,0.277272486445,0.0229588683044,0.185437013228,0.0141285343412,0.623421577804,0.406195362309,0.00176606679265,1.16737014994,0.0141285343412,0.301997421542,0.0176606679265,0.0264910018897,0.090069406425,0.0,0.0141285343412,1.91971460361,1.25037528919,0.0618123377426,0.137753209826,0.877735195945,0.0618123377426,0.132455009448,0.243717217385,0.803560390654,0.00706426717058,0.00353213358529,1.78196139378,0.54748070572,0.270208219275,1.0331490737,0.752344453667,0.0,0.217226215495,1.02785087332,0.695830316303,0.143051410204,0.0105964007559,0.00706426717058,0.00353213358529,0.268442152482,0.20662981474,0.241951150593,0.176606679265,0.386768627589,56623,0,56623
As You Like It rev.txt,asyoulikeitrev,As You Like It rev_Docuscope.html,0,18739,12.5842151051,476,1.07633479677,0.074857871204,0.101159285411,0.0,0.125437513909,0.0,0.0,0.28324599915,0.157808485241,0.0789042426204,0.265037327776,0.507819612762,0.00404637141643,0.580654298258,0.0829506140369,0.20434175653,0.0323709713315,0.0343941570397,0.00606955712465,0.0161854856657,0.0,0.912456754405,0.210411313654,0.0,1.09454346814,0.00404637141643,3.21079571894,0.00404637141643,0.0364173427479,0.0121391142493,0.0971129139944,0.0424868998725,0.0,1.47287919558,0.0121391142493,0.109252028244,0.0,0.214457685071,0.200295385113,0.325732899023,0.285269184858,0.00404637141643,0.208388127946,0.00202318570822,0.362150241771,0.835575697493,0.254921399235,0.0,0.26099095636,0.437008112975,0.0,0.157808485241,0.0,0.00404637141643,0.0,0.202318570822,1.06824205394,0.117344771077,0.151738928116,0.0404637141643,0.455216784349,0.954943654278,1.50929653833,0.00606955712465,0.00809274283286,1.37171991017,0.0,0.0,0.386428470269,0.0161854856657,0.214457685071,0.0,0.576607926842,0.511865984179,0.0121391142493,1.24021283914,0.0323709713315,0.526028284136,0.0202318570822,0.0242782284986,0.137576628159,0.0,0.0141622999575,1.61652538086,1.2058186821,0.129483885326,0.176017156615,0.977198697068,0.0485564569972,0.188156270864,0.178040342323,0.914479940114,0.00606955712465,0.0121391142493,1.7237542234,0.700022255043,0.406660327351,1.05610293969,0.936734982904,0.0,0.309547413357,1.27865336759,0.659558540878,0.159831670949,0.0101159285411,0.00404637141643,0.0161854856657,0.335848827564,0.232666356445,0.1476925567,0.190179456572,0.341918384689,49427,0,49427
Comedy of Errors rev.txt,comedyoferrorsrev,Comedy of Errors rev_Docuscope.html,0,12790,13.0720516191,347,0.988768072649,0.0418210060939,0.143386306608,0.0,0.0328593619309,0.00896164416298,0.0,0.274823754331,0.116501374119,0.110526944677,0.319631975146,0.489903214243,0.0,0.328593619309,0.0657187238619,0.27183653961,0.00597442944199,0.0328593619309,0.0,0.00597442944199,0.0,0.701995459434,0.164296809655,0.0,0.920062134066,0.0,2.99916357988,0.00896164416298,0.0448082208149,0.0418210060939,0.0537698649779,0.101565300514,0.0,2.08208866053,0.00896164416298,0.0776675827458,0.0,0.161309594934,0.104552515235,0.507826502569,0.424184490381,0.00896164416298,0.319631975146,0.00298721472099,0.218066674633,0.764726968575,0.203130601028,0.00597442944199,0.27183653961,0.501852073127,0.011948858884,0.14936073605,0.0,0.0,0.00896164416298,0.194168956865,1.32632333612,0.110526944677,0.170271239097,0.0507826502569,0.328593619309,0.943959851834,1.8072649062,0.0,0.017923288326,0.731867606644,0.0,0.0,0.292747042657,0.00298721472099,0.185207312702,0.00896164416298,0.474967140638,0.445094993428,0.00597442944199,1.58023658741,0.0448082208149,0.463018281754,0.00896164416298,0.00597442944199,0.107539729956,0.0,0.0537698649779,1.98351057474,0.926036563508,0.0716931533039,0.0776675827458,0.818496833552,0.0716931533039,0.131437447724,0.474967140638,1.00370414625,0.023897717768,0.00896164416298,2.23742382602,0.624327876688,0.33158083403,1.40399091887,0.791611901063,0.0,0.397299557892,0.848368980762,0.558609152826,0.134424662445,0.0,0.00896164416298,0.017923288326,0.385350699008,0.161309594934,0.176245668539,0.310670330983,0.277810969052,33476,0,33476
